Transaction ID,Date,Product Category,Subcategory,Product Name,Brand Name,Unit Price,Discount (%),Discounted Price,Total Revenue,GST_Percentage,GST_Amount,Total_Revenue_Incl_GST,Current Stock,Stock_Status,Rating,Returns,Customer Type,Payment Method
T0001,2025-03-25 11:53:44,Laptop Accessories,Bag,HP Bag 39,HP,3328,2,3261.44,3261.44,18,587.06,3848.5,54,OK,2.9,0,Wholesale,Cash
T0002,2025-04-04 15:21:23,Mobiles,Smartphone,Realme Smartphone 37,Realme,41028,6,38566.32,38566.32,12,4627.96,43194.28,27,OK,4.3,0,New,Cash
T0003,2025-03-20 18:42:28,Laptops,Ultrabook,Acer Ultrabook 15,Acer,147135,10,132421.5,132421.5,18,23835.87,156257.37,41,OK,4.3,0,New,Cash
T0004,2025-03-28 19:32:44,Laptop Accessories,Mouse,HP Mouse 24,HP,3284,11,2922.76,2922.76,18,526.1,3448.86,59,OK,2.2,0,Returning,Cash
T0005,2025-04-09 11:02:29,Laptop Accessories,Keyboard,HP Keyboard 43,HP,1887,21,1490.73,1490.73,18,268.33,1759.06,56,OK,3.4,0,Returning,UPI
T0006,2025-03-29 14:27:50,Laptops,Notebook,MSI Notebook 11,MSI,58421,6,54915.74,54915.74,18,9884.83,64800.57,15,OK,3.4,0,Returning,Credit Card
T0007,2025-03-14 18:32:22,Mobile Accessories,Cable,Boat Cable 1,Boat,1648,11,1466.72,1466.72,18,264.01,1730.73,58,OK,2.3,0,Regular,Net Banking
T0008,2025-03-29 19:01:52,Mobiles,Smartphone,Apple Smartphone 50,Apple,19854,11,17670.06,17670.06,12,2120.41,19790.47,23,OK,4.6,0,Regular,Credit Card
T0009,2025-03-17 20:15:23,Mobiles,Feature Phone,Apple Feature Phone 9,Apple,56404,19,45687.24,45687.24,12,5482.47,51169.71,59,OK,2.5,0,New,UPI
T0010,2025-03-23 08:54:53,Laptops,Ultrabook,Acer Ultrabook 15,Acer,147135,25,110351.25,110351.25,18,19863.22,130214.47,40,OK,2.3,0,New,Credit Card
T0011,2025-03-15 08:01:24,Laptops,Notebook,Acer Notebook 2,Acer,37689,27,27512.97,27512.97,18,4952.33,32465.3,49,OK,2.0,0,Regular,UPI
T0012,2025-04-10 13:38:34,Laptop Accessories,Keyboard,HP Keyboard 17,HP,785,11,698.65,698.65,18,125.76,824.41,17,OK,2.1,1,Regular,Credit Card
T0013,2025-03-14 08:19:06,Mobiles,Smartphone,Realme Smartphone 37,Realme,41028,14,35284.08,35284.08,12,4234.09,39518.17,26,OK,4.6,0,Returning,Debit Card
T0014,2025-03-24 07:30:22,Laptop Accessories,Charger,Dell Charger 26,Dell,1127,4,1081.92,1081.92,18,194.75,1276.67,17,OK,4.7,0,Regular,UPI
T0015,2025-04-01 06:32:16,Mobiles,Feature Phone,Nothing Feature Phone 35,Nothing,71299,2,69873.02,69873.02,12,8384.76,78257.78,41,OK,2.0,0,Regular,Net Banking
T0016,2025-03-23 17:27:21,Mobile Accessories,Cable,Logitech Cable 45,Logitech,266,6,250.04,250.04,18,45.01,295.05,53,OK,1.9,1,New,Debit Card
T0017,2025-03-24 06:17:29,Mobiles,Smartphone,Mi Smartphone 31,Mi,13024,10,11721.6,11721.6,12,1406.59,13128.19,43,OK,4.2,0,Regular,Credit Card
T0018,2025-04-06 17:58:08,Laptop Accessories,Keyboard,HP Keyboard 17,HP,785,8,722.2,722.2,18,130.0,852.2,16,OK,2.6,0,Returning,Debit Card
T0019,2025-03-18 08:38:35,Laptops,Gaming Laptop,HP Gaming Laptop 33,HP,107233,13,93292.71,93292.71,18,16792.69,110085.4,41,OK,1.1,1,New,Cash
T0020,2025-04-06 19:56:51,Mobiles,Smartphone,Nothing Smartphone 6,Nothing,44167,1,43725.33,43725.33,12,5247.04,48972.37,55,OK,1.6,0,New,Net Banking
T0021,2025-03-20 13:32:29,Laptop Accessories,Mouse,HP Mouse 24,HP,3284,5,3119.8,3119.8,18,561.56,3681.36,58,OK,4.4,1,New,Debit Card
