Transaction ID,Date,Product Category,Subcategory,Product Name,Brand Name,Units Sold,Unit Price,Discount (%),Discounted Price,Total Revenue,GST_Percentage,GST_Amount,Total_Revenue_Incl_GST,Current Stock,Stock_Status,Rating,Returns,Customer Type,Region,Payment Method
TXN100000,2025-01-11,Mobiles,Smartphones,Nothing Smartphones 381,Nothing,2,32314,0,32314.0,64628.0,18,11633.04,76261.04,13,Low Stock,4.2,0,New,Main Market - Rohit Electronics,Card
TXN100001,2025-01-11,Laptop Accessories,Mouse,Logitech Mouse 195,Logitech,4,1652,5,1569.4,6277.6,18,1129.97,7407.57,3,Low Stock,3.9,0,Returning,Main Market - Rohit Electronics,Cash
TXN100002,2025-01-11,Laptop Accessories,Bags,Logitech Bags 877,Logitech,13,1353,5,1285.35,16709.55,18,3007.72,19717.27,43,In Stock,3.2,0,Returning,Main Market - Rohit Electronics,Cash
TXN100003,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 467,Jio,3,2236,0,2236.0,6708.0,12,804.96,7512.96,5,Low Stock,4.3,0,Returning,Main Market - Rohit Electronics,Cash
TXN100004,2025-01-11,Mobile Accessories,Screen Protectors,Realme Screen Protectors 821,Realme,2,8750,5,8312.5,16625.0,18,2992.5,19617.5,98,In Stock,3.2,0,New,Main Market - Rohit Electronics,Cash
TXN100005,2025-01-11,Laptop Accessories,Bags,Zebronics Bags 750,Zebronics,14,1347,0,1347.0,18858.0,18,3394.44,22252.44,45,In Stock,3.0,0,New,Main Market - Rohit Electronics,Card
TXN100006,2025-01-11,Laptops,Student,HP Student 350,HP,2,90589,0,90589.0,181178.0,18,32612.04,213790.04,81,In Stock,4.2,0,Returning,Main Market - Rohit Electronics,Cash
TXN100007,2025-01-11,Laptops,Gaming,MSI Gaming 510,MSI,3,88675,0,88675.0,266025.0,18,47884.5,313909.5,72,In Stock,4.7,0,Returning,Main Market - Rohit Electronics,UPI
TXN100008,2025-01-11,Laptop Accessories,Keyboard,Dell Keyboard 242,Dell,4,83823,5,79631.85,318527.4,18,57334.93,375862.33,33,In Stock,4.4,0,Returning,Main Market - Rohit Electronics,UPI
TXN100009,2025-01-11,Laptops,Gaming,HP Gaming 605,HP,1,36175,15,30748.75,30748.75,18,5534.77,36283.53,19,Low Stock,4.1,0,Returning,Main Market - Rohit Electronics,Card
TXN100010,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 710,Jio,4,2083,0,2083.0,8332.0,12,999.84,9331.84,70,In Stock,4.7,0,New,Main Market - Rohit Electronics,Card
TXN100011,2025-01-11,Mobile Accessories,Screen Protectors,Boat Screen Protectors 400,Boat,7,823,0,823.0,5761.0,18,1036.98,6797.98,92,In Stock,4.7,0,New,Main Market - Rohit Electronics,Card
TXN100012,2025-01-11,Mobiles,Feature Phones,Jio Feature Phones 256,Jio,3,2561,0,2561.0,7683.0,12,921.96,8604.96,99,In Stock,4.8,1,Returning,Main Market - Rohit Electronics,UPI
