Product ID,Product Name,Brand Name,Product Category,Subcategory,Current Stock,Reorder Level,Reorder Quantity,Stock Status,Unit Price,Cost Price,Selling Price,Discount (%),GST (%),Supplier Name,Lead Time,Stock_Status,Rating,Transaction ID,Customer Type,Total_Revenue_Incl_GST,Total Revenue,GST_Percentage,Discounted Price,Returns,Payment Method,Date,GST_Amount
4490,MSI Gaming 1,MSI,Laptops,Gaming,420,83,45,OK,1722.56,1399.07,2038.79,6,5,Supplier_16,16,OK,2.6,T31507,New,2012.28,1916.46,5,1916.46,0,EMI,2025-04-20,95.82
7644,Lenovo Business 11,Lenovo,Laptops,Business,107,61,50,OK,12229.65,10023.17,14312.18,14,12,Supplier_25,7,OK,3.7,T12438,New,13785.49,12308.47,12,12308.47,0,EMI,2025-02-19,1477.02
9229,Nothing Smartphones 24,Nothing,Mobiles,Smartphones,458,54,49,OK,47998.18,41971.47,57898.18,12,28,Supplier_9,17,OK,4.5,T37431,New,65216.51,50950.4,28,50950.4,1,Cash,2025-04-07,14266.11
4132,Boat Chargers 7,Boat,Mobile Accessories,Chargers,26,70,100,Low,13443.86,8589.98,16735.61,23,5,Supplier_46,17,Low,3.4,T35727,New,13530.74,12886.42,5,12886.42,1,Cash,2025-04-11,644.32
6596,Apple Smartphones 52,Apple,Mobiles,Smartphones,84,89,90,Low,12525.43,7954.9,13740.32,22,18,Supplier_15,2,Low,3.9,T52014,Wholesale,12646.59,10717.45,18,10717.45,0,Cash,2025-03-28,1929.14
7409,Vivo Smartphones 82,Vivo,Mobiles,Smartphones,36,100,38,Low,15988.82,9797.89,18962.19,16,12,Supplier_14,3,Low,3.6,T25663,Wholesale,17839.63,15928.24,12,15928.24,1,Cash,2025-04-22,1911.39
7689,Mi Cases 15,Mi,Mobile Accessories,Cases,334,39,14,OK,16349.94,11412.83,21102.74,3,5,Supplier_73,28,OK,4.0,T71912,Returning,21493.14,20469.66,5,20469.66,1,Cash,2025-04-09,1023.48
4393,Realme Earphones 56,Realme,Mobile Accessories,Earphones,293,56,72,OK,6537.94,4858.17,8000.93,6,12,Supplier_15,11,OK,1.5,T63484,New,8423.37,7520.87,12,7520.87,0,Cash,2025-01-17,902.5
8160,Dell Bags 5,Dell,Laptop Accessories,Bags,294,82,11,OK,23322.41,19721.05,29668.57,11,12,Supplier_81,8,OK,3.6,T22656,Returning,29573.63,26405.03,12,26405.03,0,Cash,2025-03-17,3168.6
6223,Realme Earphones 56,Realme,Mobile Accessories,Earphones,49,34,79,OK,46697.11,35015.62,54280.03,2,12,Supplier_46,14,OK,4.0,T28574,New,59577.76,53194.43,12,53194.43,0,UPI,2025-02-15,6383.33
4196,Logitech Mouse 73,Logitech,Laptop Accessories,Mouse,354,18,73,OK,31723.04,27717.99,36894.69,20,28,Supplier_61,10,OK,3.7,T41941,New,37780.16,29515.75,28,29515.75,0,EMI,2025-04-30,8264.41
9415,Realme Smartphones 32,Realme,Mobiles,Smartphones,90,56,59,OK,1355.6,813.85,1408.19,17,28,Supplier_79,29,OK,3.8,T14206,New,1496.06,1168.8,28,1168.8,1,UPI,2025-01-13,327.26
1789,ASUS Gaming 66,ASUS,Laptops,Gaming,392,16,29,OK,17907.77,15792.93,20504.35,27,18,Supplier_92,30,OK,3.8,T70642,New,17662.45,14968.18,18,14968.18,0,UPI,2025-03-31,2694.27
5164,Dell Bags 5,Dell,Laptop Accessories,Bags,425,53,87,OK,5722.52,4738.86,6539.29,20,18,Supplier_93,27,OK,4.9,T97481,New,6173.09,5231.43,18,5231.43,0,Cash,2025-02-09,941.66
8298,MSI Gaming 1,MSI,Laptops,Gaming,100,82,13,OK,6644.07,5831.54,7661.01,9,12,Supplier_44,7,OK,1.9,T87572,New,7808.1,6971.52,12,6971.52,0,UPI,2025-05-18,836.58
5459,Samsung Screen Protectors 56,Samsung,Mobile Accessories,Screen Protectors,281,64,53,OK,4483.8,3966.42,4494.91,12,18,Supplier_96,12,OK,5.0,T90157,Wholesale,4667.51,3955.52,18,3955.52,0,Card,2025-03-17,711.99
9747,Samsung Screen Protectors 56,Samsung,Mobile Accessories,Screen Protectors,10,61,21,Low,32083.82,24000.44,38963.55,5,28,Supplier_60,23,Low,1.8,T38453,New,47379.67,37015.37,28,37015.37,1,Card,2025-04-11,10364.3
8965,Logitech Mouse 73,Logitech,Laptop Accessories,Mouse,17,14,95,OK,10573.25,9995.53,12595.55,3,5,Supplier_57,30,OK,1.4,T87328,Wholesale,12828.56,12217.68,5,12217.68,1,UPI,2025-01-16,610.88
3510,Vivo Smartphones 82,Vivo,Mobiles,Smartphones,493,11,49,OK,40866.61,29366.61,44836.89,8,28,Supplier_63,21,OK,2.3,T52154,Returning,52799.92,41249.94,28,41249.94,0,EMI,2025-02-15,11549.98
2786,Apple Smartphones 52,Apple,Mobiles,Smartphones,271,39,53,OK,12232.69,10073.64,14120.76,5,12,Supplier_64,2,OK,2.8,T63997,Wholesale,15024.49,13414.72,12,13414.72,0,UPI,2025-02-18,1609.77
5139,Lenovo Business 11,Lenovo,Laptops,Business,182,55,97,OK,20134.09,17428.36,25385.23,21,5,Supplier_73,26,OK,4.0,T37340,Returning,21057.05,20054.33,5,20054.33,0,EMI,2025-04-26,1002.72
2057,Realme Earphones 56,Realme,Mobile Accessories,Earphones,77,38,37,OK,2123.34,1810.88,2400.87,3,12,Supplier_50,21,OK,1.9,T53350,New,2608.3,2328.84,12,2328.84,1,UPI,2025-03-19,279.46
2186,Realme Earphones 56,Realme,Mobile Accessories,Earphones,154,99,60,OK,34184.79,30877.98,40740.34,10,28,Supplier_35,30,OK,2.1,T68441,Wholesale,46932.88,36666.31,28,36666.31,1,EMI,2025-03-18,10266.57
2110,Logitech Mouse 73,Logitech,Laptop Accessories,Mouse,147,31,22,OK,39348.63,31300.63,49128.45,27,18,Supplier_28,9,OK,3.8,T58165,Wholesale,42319.25,35863.77,18,35863.77,0,Cash,2025-03-08,6455.48
4113,Vivo Smartphones 82,Vivo,Mobiles,Smartphones,47,42,28,OK,20973.08,17019.93,26226.09,4,12,Supplier_81,25,OK,2.7,T77262,Wholesale,28198.3,25177.05,12,25177.05,1,UPI,2025-05-16,3021.25
3444,Apple Smartphones 52,Apple,Mobiles,Smartphones,39,85,53,Low,36038.26,34195.29,38261.46,21,18,Supplier_94,26,Low,1.7,T90328,Wholesale,35667.33,30226.55,18,30226.55,1,UPI,2025-04-23,5440.78
5916,Nothing Smartphones 24,Nothing,Mobiles,Smartphones,381,73,60,OK,838.84,599.73,987.74,27,28,Supplier_13,3,OK,4.3,T81547,Returning,922.94,721.05,28,721.05,0,Cash,2025-01-20,201.89
1795,Dell Bags 5,Dell,Laptop Accessories,Bags,302,82,78,OK,35020.16,24134.47,44364.87,11,18,Supplier_22,27,OK,2.4,T30337,Wholesale,46591.98,39484.73,18,39484.73,0,EMI,2025-02-13,7107.25
